feature,coefficient
home_ownership_woe,1.0167794304273017
emp_length_woe,0.9917226743436235
annual_inc_woe,0.8898567914217544
open_acc_woe,0.7136586393055985
unrate_woe,0.6836415187684988
fedfunds_woe,0.6649166551718718
loan_amnt_woe,0.5896105658067862
term_woe,0.5834321943319394
revol_bal_woe,0.49114332461421345
dti_woe,0.4877900336844453
inq_last_6mths_woe,0.48686485243769356
sub_grade_woe,0.397337710047585
delinq_2yrs_woe,0.3411644021908582
fico_range_high_woe,0.1945533945119089
fico_range_low_woe,0.1945533945119089
pub_rec_woe,0.1942084225748106
verification_status_woe,0.19262845254737174
revol_util_woe,0.18535094574490132
grade_woe,0.18015193328199627
int_rate_woe,0.1219505809447183
purpose_woe,0.07933792646058982
cpi_woe,0.05287762912193776
