actual,probability_of_default,risk_band,decision,credit_score
0,0.06464589676470604,Very Low Risk,Approve,814
0,0.05112990799418804,Very Low Risk,Approve,822
0,0.0897694322105288,Low Risk,Approve,801
1,0.26259131507555705,High Risk,Reject,706
0,0.04369954370923804,Very Low Risk,Approve,826
0,0.09763578448368869,Low Risk,Approve,796
0,0.19338227503927632,Medium Risk,Manual Review,744
0,0.18400689753409777,Medium Risk,Manual Review,749
0,0.04994464206109567,Very Low Risk,Approve,823
0,0.03481177658095637,Very Low Risk,Approve,831
0,0.23250553983169212,High Risk,Manual Review,722
0,0.32775307533724707,Very High Risk,Reject,670
0,0.1892956873074427,Medium Risk,Manual Review,746
0,0.04131723899177958,Very Low Risk,Approve,827
0,0.1885977962849082,Medium Risk,Manual Review,746
0,0.21597493726327932,High Risk,Manual Review,731
0,0.34992177535914626,Very High Risk,Reject,658
1,0.13961049464508593,Low Risk,Manual Review,773
1,0.46663959426167373,Very High Risk,Reject,593
0,0.03341545170973447,Very Low Risk,Approve,832
0,0.15970896276326702,Medium Risk,Manual Review,762
0,0.17455807296733103,Medium Risk,Manual Review,754
0,0.16444708625922244,Medium Risk,Manual Review,760
0,0.11611259818978428,Low Risk,Manual Review,786
0,0.19167007090376326,Medium Risk,Manual Review,745
0,0.26896674191361825,High Risk,Reject,702
0,0.09905465902012857,Low Risk,Approve,796
0,0.346582624478659,Very High Risk,Reject,659
0,0.1955461364387328,Medium Risk,Manual Review,742
1,0.2665445663688986,High Risk,Reject,703
0,0.2470797172259371,High Risk,Manual Review,714
0,0.34976394373262215,Very High Risk,Reject,658
0,0.47693755544344235,Very High Risk,Reject,588
0,0.23485873494709356,High Risk,Manual Review,721
0,0.10943921436319334,Low Risk,Manual Review,790
1,0.47296857209475923,Very High Risk,Reject,590
0,0.0745025791055868,Very Low Risk,Approve,809
0,0.0640144937282374,Very Low Risk,Approve,815
0,0.2045895603803564,Medium Risk,Manual Review,737
0,0.07886867030233181,Very Low Risk,Approve,807
0,0.2022261720631592,Medium Risk,Manual Review,739
0,0.21443014619241615,High Risk,Manual Review,732
0,0.3650158136862404,Very High Risk,Reject,649
0,0.12976259374524066,Low Risk,Manual Review,779
0,0.31202878366706777,Very High Risk,Reject,678
0,0.1333199203658243,Low Risk,Manual Review,777
