feature,coefficient
emp_length_woe,1.0456939932687257
home_ownership_woe,1.016363517715242
annual_inc_woe,0.76987842801364
open_acc_woe,0.7288742337141297
loan_amnt_woe,0.5997083942678486
dti_woe,0.551545170805034
term_woe,0.5466468214333454
revol_bal_woe,0.48726151045169996
sub_grade_woe,0.42406678944149123
inq_last_6mths_woe,0.35174859689645166
delinq_2yrs_woe,0.3448034137239313
pub_rec_woe,0.33809031673194617
grade_woe,0.23631355072502064
fico_range_high_woe,0.21208689531987018
fico_range_low_woe,0.21208689531987018
verification_status_woe,0.18121944138469684
purpose_woe,0.08189369067148992
int_rate_woe,0.041899697749387954
revol_util_woe,0.008256727789117577
