loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,fico_range_low,fico_range_high,open_acc,revol_bal,revol_util,delinq_2yrs,pub_rec,inq_last_6mths,target
9600.0, 36 months,12.99,C,C1,missing,RENT,21900.0,Verified,debt_consolidation,10.03,685.0,689.0,13.0,4509.0,38.9,0.0,1.0,1.0,0
4000.0, 36 months,6.68,A,A3,4 years,MORTGAGE,83000.0,Not Verified,major_purchase,19.53,780.0,784.0,16.0,1564.0,17.2,0.0,0.0,0.0,0
6025.0, 36 months,10.91,B,B4,10+ years,RENT,52000.0,Not Verified,debt_consolidation,9.16,740.0,744.0,11.0,2706.0,12.8,1.0,0.0,1.0,0
20000.0, 36 months,9.49,B,B2,10+ years,MORTGAGE,100000.0,Not Verified,debt_consolidation,16.43,695.0,699.0,15.0,20440.0,56.3,1.0,0.0,0.0,0
1000.0, 36 months,8.18,B,B1,missing,RENT,23000.0,Verified,debt_consolidation,16.34,680.0,684.0,6.0,3237.0,77.1,1.0,0.0,0.0,0
24575.0, 60 months,14.49,C,C4,5 years,RENT,120000.0,Source Verified,credit_card,17.4,680.0,684.0,14.0,18320.0,80.0,0.0,0.0,0.0,0
7000.0, 36 months,6.99,A,A2,5 years,RENT,41000.0,Source Verified,house,16.54,755.0,759.0,13.0,6140.0,15.4,0.0,0.0,0.0,0
16000.0, 36 months,7.07,A,A2,8 years,MORTGAGE,50000.0,Not Verified,debt_consolidation,22.19,775.0,779.0,7.0,5180.0,20.3,0.0,0.0,0.0,0
10000.0, 36 months,14.31,C,C4,7 years,OWN,78000.0,Not Verified,debt_consolidation,22.95,670.0,674.0,16.0,48407.0,83.9,0.0,0.0,0.0,0
16000.0, 60 months,10.99,B,B3,2 years,MORTGAGE,73000.0,Not Verified,debt_consolidation,18.71,805.0,809.0,12.0,4190.0,5.8,0.0,0.0,1.0,0
16000.0, 36 months,12.99,C,C2,10+ years,MORTGAGE,97000.0,Source Verified,credit_card,8.73,695.0,699.0,25.0,12215.0,29.1,0.0,0.0,0.0,0
12000.0, 36 months,19.99,D,D4,5 years,RENT,80000.0,Verified,small_business,4.79,680.0,684.0,3.0,37.0,2.6,0.0,1.0,0.0,0
12000.0, 60 months,13.99,C,C4,4 years,MORTGAGE,55000.0,Verified,debt_consolidation,21.56,695.0,699.0,16.0,17609.0,38.5,0.0,0.0,2.0,1
8000.0, 36 months,12.69,C,C2,6 years,RENT,40500.0,Source Verified,credit_card,12.68,700.0,704.0,7.0,8612.0,49.5,0.0,0.0,2.0,0
35000.0, 60 months,22.47,E,E5,1 year,OWN,135000.0,Source Verified,credit_card,14.93,685.0,689.0,14.0,12148.0,94.9,0.0,0.0,0.0,0
12375.0, 60 months,24.5,F,F3,10+ years,RENT,45000.0,Verified,debt_consolidation,15.87,670.0,674.0,13.0,10067.0,67.6,0.0,1.0,0.0,1
6000.0, 36 months,11.14,B,B2,2 years,MORTGAGE,88000.0,Not Verified,debt_consolidation,17.37,680.0,684.0,9.0,17343.0,91.3,0.0,0.0,1.0,0
8000.0, 36 months,16.02,C,C5,10+ years,MORTGAGE,88000.0,Source Verified,debt_consolidation,28.6,700.0,704.0,20.0,5333.0,25.8,0.0,0.0,0.0,0
18000.0, 60 months,13.98,C,C3,10+ years,OWN,60000.0,Not Verified,debt_consolidation,20.52,735.0,739.0,13.0,16018.0,52.2,0.0,0.0,3.0,1
4000.0, 36 months,14.08,C,C3,4 years,MORTGAGE,43200.0,Source Verified,debt_consolidation,15.17,685.0,689.0,10.0,2968.0,74.2,3.0,0.0,1.0,0
6000.0, 36 months,13.99,C,C4,10+ years,RENT,37000.0,Source Verified,other,13.95,670.0,674.0,14.0,7707.0,64.8,0.0,1.0,0.0,0
3925.0, 36 months,12.79,C,C1,10+ years,MORTGAGE,50000.0,Not Verified,car,4.3,665.0,669.0,12.0,666.0,4.0,1.0,1.0,1.0,0
8000.0, 36 months,15.99,C,C5,10+ years,RENT,50000.0,Verified,debt_consolidation,24.48,680.0,684.0,6.0,10788.0,81.1,0.0,3.0,0.0,0
14500.0, 36 months,13.33,C,C3,2 years,MORTGAGE,65000.0,Verified,debt_consolidation,17.13,660.0,664.0,10.0,13493.0,87.1,0.0,0.0,0.0,0
20000.0, 36 months,12.29,C,C1,10+ years,MORTGAGE,80000.0,Not Verified,debt_consolidation,27.9,695.0,699.0,7.0,20709.0,82.2,1.0,0.0,1.0,1
21000.0, 36 months,12.29,C,C1,10+ years,RENT,67000.0,Verified,renewable_energy,17.38,695.0,699.0,8.0,14929.0,58.5,0.0,0.0,2.0,0
28000.0, 36 months,5.32,A,A1,10+ years,MORTGAGE,95000.0,Not Verified,credit_card,15.9,770.0,774.0,10.0,84415.0,52.3,0.0,0.0,0.0,0
15000.0, 36 months,6.03,A,A1,10+ years,MORTGAGE,130000.0,Not Verified,debt_consolidation,20.23,775.0,779.0,13.0,15631.0,34.5,0.0,0.0,0.0,0
15000.0, 36 months,12.74,C,C1,10+ years,MORTGAGE,70000.0,Verified,credit_card,28.84,715.0,719.0,24.0,14943.0,37.4,0.0,1.0,1.0,1
14400.0, 36 months,10.41,B,B3,10+ years,MORTGAGE,97000.0,Source Verified,debt_consolidation,29.94,700.0,704.0,20.0,40317.0,70.9,0.0,0.0,1.0,0
17600.0, 36 months,20.2,E,E3,5 years,MORTGAGE,44200.0,Source Verified,debt_consolidation,17.24,670.0,674.0,10.0,4786.0,59.8,0.0,0.0,2.0,0
18000.0, 60 months,14.65,C,C5,3 years,RENT,60000.0,Not Verified,debt_consolidation,10.91,700.0,704.0,10.0,6548.0,14.9,0.0,0.0,0.0,0
11200.0, 60 months,13.99,C,C4,10+ years,MORTGAGE,44000.0,Source Verified,debt_consolidation,7.88,710.0,714.0,7.0,5565.0,74.2,0.0,0.0,0.0,1
20000.0, 36 months,15.99,C,C5,7 years,MORTGAGE,37000.0,Verified,debt_consolidation,40.84,685.0,689.0,11.0,13761.0,99.0,0.0,0.0,1.0,0
8400.0, 36 months,13.59,C,C2,5 years,RENT,70000.0,Verified,debt_consolidation,33.58,680.0,684.0,15.0,15904.0,61.9,0.0,1.0,1.0,1
7000.0, 36 months,6.39,A,A2,missing,RENT,81000.0,Source Verified,debt_consolidation,22.1,740.0,744.0,15.0,4104.0,17.5,0.0,0.0,0.0,0
7000.0, 36 months,9.91,B,B1,5 years,MORTGAGE,156000.0,Verified,debt_consolidation,6.42,700.0,704.0,8.0,4082.0,72.5,0.0,0.0,0.0,0
