actual,probability_of_default,risk_band,decision,credit_score
0,0.05095850505809135,Very Low Risk,Approve,822
0,0.06467646671609643,Very Low Risk,Approve,814
0,0.12000760498187427,Low Risk,Manual Review,784
1,0.2629279966463287,High Risk,Reject,705
0,0.03504269740598586,Very Low Risk,Approve,831
0,0.13196460921786687,Low Risk,Manual Review,777
0,0.23611375152971417,High Risk,Manual Review,720
0,0.2109147550004135,Medium Risk,Manual Review,734
0,0.056794029762812046,Very Low Risk,Approve,819
0,0.04794859108332943,Very Low Risk,Approve,824
0,0.27137885784413834,High Risk,Reject,701
0,0.34672561797497004,Very High Risk,Reject,659
0,0.2383270552087689,High Risk,Manual Review,719
0,0.04411296511631757,Very Low Risk,Approve,826
0,0.21867854920007992,High Risk,Manual Review,730
0,0.22991856994259868,High Risk,Manual Review,724
0,0.392225724688835,Very High Risk,Reject,634
1,0.17735769750390618,Medium Risk,Manual Review,752
1,0.3814988389701729,Very High Risk,Reject,640
0,0.03590408040327123,Very Low Risk,Approve,830
0,0.14123838409407835,Low Risk,Manual Review,772
0,0.1775411889997847,Medium Risk,Manual Review,752
0,0.15693228136612983,Medium Risk,Manual Review,764
0,0.14127567105557565,Low Risk,Manual Review,772
0,0.20410993757201953,Medium Risk,Manual Review,738
0,0.2645844630481157,High Risk,Reject,704
0,0.12065691346835761,Low Risk,Manual Review,784
0,0.3648938630729068,Very High Risk,Reject,649
0,0.16448118071111875,Medium Risk,Manual Review,760
1,0.22090010462164436,High Risk,Manual Review,729
0,0.21365695250051028,High Risk,Manual Review,732
0,0.3785060542591286,Very High Risk,Reject,642
0,0.3907282693671812,Very High Risk,Reject,635
0,0.20026098154872063,Medium Risk,Manual Review,740
0,0.10795419319120526,Low Risk,Manual Review,791
1,0.4801506197939753,Very High Risk,Reject,586
0,0.09840735779634713,Low Risk,Approve,796
0,0.08185711644527086,Very Low Risk,Approve,805
0,0.16614271930096403,Medium Risk,Manual Review,759
0,0.0832055764783476,Very Low Risk,Approve,804
0,0.23013448920075716,High Risk,Manual Review,723
0,0.18113913883172264,Medium Risk,Manual Review,750
0,0.4142754918356335,Very High Risk,Reject,622
0,0.129622561838925,Low Risk,Manual Review,779
0,0.23995571992633208,High Risk,Manual Review,718
0,0.15679952884667928,Medium Risk,Manual Review,764
0,0.0657325245898443,Very Low Risk,Approve,814
0,0.3364219348631992,Very High Risk,Reject,665
0,0.0927487684649674,Low Risk,Approve,799
1,0.05364192387582371,Very Low Risk,Approve,820
1,0.3227418717544664,Very High Risk,Reject,672
0,0.15601233383058255,Medium Risk,Manual Review,764
0,0.1217634572622478,Low Risk,Manual Review,783
0,0.1401812370189945,Low Risk,Manual Review,773
0,0.06411912537003843,Very Low Risk,Approve,815
0,0.21405040807038794,High Risk,Manual Review,732
0,0.05186205142218647,Very Low Risk,Approve,821
0,0.18096281667377026,Medium Risk,Manual Review,750
0,0.3769106472917849,Very High Risk,Reject,643
0,0.09568357856876851,Low Risk,Approve,797
0,0.27684702848287834,High Risk,Reject,698
0,0.2755971043219897,High Risk,Reject,698
0,0.02568579593458278,Very Low Risk,Approve,836
0,0.1239354034795288,Low Risk,Manual Review,782
0,0.047776638947198885,Very Low Risk,Approve,824
0,0.2760447216346814,High Risk,Reject,698
0,0.23563339729852792,High Risk,Manual Review,720
1,0.290776622104099,High Risk,Reject,690
0,0.17460115309368293,Medium Risk,Manual Review,754
0,0.046277610169679545,Very Low Risk,Approve,825
0,0.19325177140162889,Medium Risk,Manual Review,744
